,Name,Inches,RAM,ROM,OS,Price,Links
115,Samsung Galaxy Note 20 Ultra 5G,6.9 inches,12 GB,256 GB,"Android 10, One UI 2.1",3299000.0,https://cellphones.com.vn/samsung-galaxy-note-20-ultra-5g.html
116,OPPO A57 4GB 128GB,6.56 inches,4 GB,128 GB,"ColorOS 12.1, nền tảng Android 12",49900000.0,https://cellphones.com.vn/oppo-a57-128gb.html
117,Nubia Red Magic 7 Obsidian 12GB 128GB,6.8 inches,12 GB,128 GB,"Android 12, Redmagic 5.0",15990000.0,https://cellphones.com.vn/nubia-red-magic-7.html
118,Samsung Galaxy A52s 5G,6.5 inches,8 GB,128 GB,"Android 11, One UI 3.1",10990000.0,https://cellphones.com.vn/samsung-galaxy-a52s.html
119,OPPO Reno8 Z,6.43 inches,8 GB,256 GB,Android 12,7890000.0,https://cellphones.com.vn/oppo-reno8-z.html
120,Samsung Galaxy S21 Ultra 5G,6.8 inches,12 GB,128 GB,Android 11,30990000.0,https://cellphones.com.vn/samsung-galaxy-s21-ultra.html
121,Xiaomi POCO M5s 6GB 128GB,6.43 inches,6 GB,128 GB,"MIUI 13, Android 12",52900000.0,https://cellphones.com.vn/xiaomi-poco-m5s-6gb-128gb.html
122,OPPO A55,6.5 inches,4 GB,64 GB,"Android 11, ColorOS 11.1",36900000.0,https://cellphones.com.vn/oppo-a55.html
123,ASUS ROG Phone 5 chính hãng,6.78 inches,16 GB,256 GB,"Android 11, ROG UI",18990000.0,https://cellphones.com.vn/asus-rog-phone-5.html
124,Xiaomi POCO M5s 4GB 64GB,6.43 inches,4 GB,64 GB,"MIUI 13, Android 12",42900000.0,https://cellphones.com.vn/xiaomi-poco-m5s.html
125,ASUS ROG Phone 6 Batman 12GB 256GB,6.78 inches,12 GB,256 GB,Android 12,16690000.0,https://cellphones.com.vn/asus-rog-phone-6-batman-12gb-256gb.html
126,Nokia 5710 XpressAudio,2.4 inches,Không Có,128 MB,S30+,1760000.0,https://cellphones.com.vn/nokia-5710-xpressaudio.html
127,Samsung Galaxy S22 Plus (8GB - 256GB),6.6 inches,8 GB,256 GB,Android 12,274900000.0,https://cellphones.com.vn/samsung-galaxy-s22-plus-256gb.html
